Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/CS101/Summer2014,8bcf002f715ee82167fb2cc12b7cbcd9764aa3f0,1,693
OpenEdX,Engineering/CS101/Summer2014,17d1bf7acb6a2d72eb3a9ab3eef9e6c788ceb73f,6,1
OpenEdX,Engineering/CS101/Summer2014,af991333157ba21041347bc502d4886f780a90ec,2,1
OpenEdX,Engineering/CS101/Summer2014,234b11d195cb5011982e381cf43ce067ff2db585,1,1
OpenEdX,Engineering/CS101/Summer2014,f7d79550c57f440acb396268a9255b560971b9b9,1,1
OpenEdX,Engineering/CS101/Summer2014,5a6f8a39db03b0e9e1c779ee494158cdbd43ef54,1,1
OpenEdX,Engineering/CS101/Summer2014,5d11141e9696683ae2f9b29e9d04ef043b46cfde,6,1
OpenEdX,Engineering/CS101/Summer2014,6dbbb77a12458261bf7af6e4e2fe7928b3bff17e,1,378
OpenEdX,Engineering/CS101/Summer2014,3fa8877cfc12b25920b370ead30d0586b6a9e651,2,2
OpenEdX,Engineering/CS101/Summer2014,f586f932b5c2bb584dcfa52e75ca75a78c07c033,2,1830
OpenEdX,Engineering/CS101/Summer2014,f586f932b5c2bb584dcfa52e75ca75a78c07c033,5,613
OpenEdX,Engineering/CS101/Summer2014,7379a80d1affb6b5947b39f0b630b31377f6323c,3,1
OpenEdX,Engineering/CS101/Summer2014,9e113bd29515a4eaa3d327ada0f4eacbf5c334a4,4,2
OpenEdX,Engineering/CS101/Summer2014,9e113bd29515a4eaa3d327ada0f4eacbf5c334a4,7,1
OpenEdX,Engineering/CS101/Summer2014,23fe522ab6536c251d33ee2def9f50053106708c,1,1
OpenEdX,Engineering/CS101/Summer2014,23fe522ab6536c251d33ee2def9f50053106708c,3,1
OpenEdX,Engineering/CS101/Summer2014,0733e0662dc9423005618a7ae8bd4597b2b313c8,7,1
OpenEdX,Engineering/CS101/Summer2014,f114b44e436c71dc1798d3132ebdd17651d791b7,1,1453
OpenEdX,Engineering/CS101/Summer2014,f114b44e436c71dc1798d3132ebdd17651d791b7,3,840
OpenEdX,Engineering/CS101/Summer2014,3ff7d10b3fbd293a16d15e7c9eb54defcbdecb79,2,259
OpenEdX,Engineering/CS101/Summer2014,3ff7d10b3fbd293a16d15e7c9eb54defcbdecb79,4,372
OpenEdX,Engineering/CS101/Summer2014,3ff7d10b3fbd293a16d15e7c9eb54defcbdecb79,7,1
OpenEdX,Engineering/CS101/Summer2014,a9cab6bbc29dbfc354a03ebd8405adcda3ee7957,2,1
OpenEdX,Engineering/CS101/Summer2014,a9cab6bbc29dbfc354a03ebd8405adcda3ee7957,4,22
OpenEdX,Engineering/CS101/Summer2014,3724cf0aa4e985a8b3f00b3f02de3d577ae757c2,7,1
OpenEdX,Engineering/CS101/Summer2014,30e94c2701b296b8b85028a3d4946ea48c01324e,4,2207
OpenEdX,Engineering/CS101/Summer2014,30e94c2701b296b8b85028a3d4946ea48c01324e,5,1
OpenEdX,Engineering/CS101/Summer2014,a64de1762080b6c4faeaf2a230c4c357d0d7fd7e,3,2
OpenEdX,Engineering/CS101/Summer2014,f3b89a5a4ed76944be82767ea97ec8e672f64309,5,1
OpenEdX,Engineering/CS101/Summer2014,797866f58563bca178755f5b24b94e5f2525afb9,6,1
OpenEdX,Engineering/CS101/Summer2014,3b3a61e6ccda5fdacf57f8365a382b9e04ab33e3,7,144
OpenEdX,Engineering/CS101/Summer2014,3c54c01b36911822b4b4d5be3a4e91b8d6ef32bd,2,1
OpenEdX,Engineering/CS101/Summer2014,3c54c01b36911822b4b4d5be3a4e91b8d6ef32bd,4,1
OpenEdX,Engineering/CS101/Summer2014,3c54c01b36911822b4b4d5be3a4e91b8d6ef32bd,5,4
OpenEdX,Engineering/CS101/Summer2014,de360db15f012ec39b967b61ba5a35c5a1d981e2,1,254
OpenEdX,Engineering/CS101/Summer2014,6ea24f5c1991d62d25282b823abf7b4f7d886c42,3,1
OpenEdX,Engineering/CS101/Summer2014,1372a813541041840f818b4141d510c2ee740dd0,1,1
OpenEdX,Engineering/CS101/Summer2014,1372a813541041840f818b4141d510c2ee740dd0,4,1
OpenEdX,Engineering/CS101/Summer2014,f65ccfc7b7803e4d8d6c4b391dee8b55e4122755,1,140
OpenEdX,Engineering/CS101/Summer2014,f65ccfc7b7803e4d8d6c4b391dee8b55e4122755,3,1051
OpenEdX,Engineering/CS101/Summer2014,f65ccfc7b7803e4d8d6c4b391dee8b55e4122755,4,464
OpenEdX,Engineering/CS101/Summer2014,b536823731229eee904fa10d6f18b1c00a065ea8,2,1
OpenEdX,Engineering/CS101/Summer2014,8f31350260457f8c30d4edba542e70441278a1a7,1,1
OpenEdX,Engineering/CS101/Summer2014,68e729b362b6573fa1d6dd81ef45ea6d98c1da9a,7,1
OpenEdX,Engineering/CS101/Summer2014,df29dc41d8b1d7236d033d2b2427d3d48154b70d,5,1
OpenEdX,Engineering/CS101/Summer2014,395d542918a63fa15dbccbd2c41cafb97ed15129,1,1
OpenEdX,Engineering/CS101/Summer2014,395d542918a63fa15dbccbd2c41cafb97ed15129,6,1
OpenEdX,Engineering/CS101/Summer2014,91f109346c3e830ba93259f7368a9f993e1b18de,1,553
OpenEdX,Engineering/CS101/Summer2014,b53b314d944ffc7052b338817e6a049cdfe2fc55,4,1
